timestamp	id	a_A	a_B	a_C	a_D	a_E	b_A	b_B	b_C	c_A	c_B	c_C	d
2026-07-28T07:07:00Z	1	berki jános	20 E+ keresés	trending_up	Aktív	11 órája	20 E+	arrow_upward	1 000%	11 órával ezelőtt	trending_up	Aktív	kosárlabda
2026-07-28T07:07:00Z	2	élelmiszer	10 E+ keresés	trending_up	Aktív	16 órája	10 E+	arrow_upward	1 000%	16 órával ezelőtt	trending_up	Aktív	
2026-07-28T07:07:00Z	3	tanítási nap	10 E+ keresés	trending_up	Aktív	20 órája	10 E+	arrow_upward	1 000%	20 órával ezelőtt	trending_up	Aktív	
2026-07-28T07:07:00Z	4	lévai anikó	5 E+ keresés	trending_up	Aktív	16 órája	5 E+	arrow_upward	1 000%	16 órával ezelőtt	trending_up	Aktív	
2026-07-28T07:07:00Z	5	takács péter	2 E+ keresés	trending_up	Aktív	11 órája	2 E+	arrow_upward	1 000%	11 órával ezelőtt	trending_up	Aktív	szűcs gábor
2026-07-28T07:07:00Z	6	m4-es autóút	2 E+ keresés	trending_up	Aktív	11 órája	2 E+	arrow_upward	1 000%	11 órával ezelőtt	trending_up	Aktív	
2026-07-28T07:07:00Z	7	hankó balázs	2 E+ keresés	trending_up	Aktív	16 órája	2 E+	arrow_upward	1 000%	16 órával ezelőtt	trending_up	Aktív	
2026-07-28T07:07:00Z	8	kormány	2 E+ keresés	trending_up	Aktív	4 órája	2 E+	arrow_upward	1 000%	4 órával ezelőtt	trending_up	Aktív	telex hu
2026-07-28T07:07:00Z	9	sandra bullock	1 E+ keresés	trending_up	Aktív	15 órája	1 E+	arrow_upward	700%	15 órával ezelőtt	trending_up	Aktív	
2026-07-28T07:07:00Z	10	médiaszolgáltatás támogató és vagyonkezelő alap	1 E+ keresés	trending_up	Aktív	11 órája	1 E+	arrow_upward	800%	11 órával ezelőtt	trending_up	Aktív	médiaszolgáltatás-támogató és vagyonkezelő alap
